temperature,Mpa,liquid_density,steam_density,liquid_enthalpy,steam_enthalpy,liquid_entropy,steam_entropy
-50,0.029,1446,1.65,135.7,367.7,0.741,1.781
-48,0.033,1441,1.838,138.2,368.9,0.752,1.777
-46,0.037,1435,2.043,140.6,370.2,0.763,1.774
-44,0.041,1429,2.266,143.1,371.5,0.774,1.77
-42,0.046,1424,2.507,145.6,372.7,0.785,1.767
-40,0.051,1418,2.77,148.1,374,0.796,1.764
-38,0.057,1412,3.053,150.7,375.3,0.806,1.762
-36,0.063,1406,3.359,153.2,376.5,0.817,1.759
-34,0.07,1400,3.689,155.7,377.8,0.828,1.756
-32,0.077,1394,4.044,158.3,379.1,0.838,1.754
-30,0.084,1388,4.426,160.8,380.3,0.849,1.752
-28,0.093,1382,4.836,163.3,381.6,0.859,1.749
-26,0.102,1377,5.275,165.9,382.8,0.869,1.747
-24,0.111,1370,5.745,168.5,384.1,0.88,1.745
-22,0.122,1364,6.248,171.1,385.3,0.89,1.743
-20,0.133,1358,6.785,173.6,386.6,0.9,1.741
-18,0.145,1352,7.357,176.2,387.8,0.91,1.74
-16,0.157,1346,7.967,178.8,389,0.921,1.738
-14,0.171,1340,8.617,181.4,390.2,0.931,1.736
-12,0.185,1333,9.307,184.1,391.5,0.941,1.735
-10,0.201,1327,10.04,186.7,392.7,0.951,1.733
-8,0.217,1321,10.82,189.3,393.9,0.961,1.732
-6,0.234,1314,11.65,192,395.1,0.971,1.731
-4,0.253,1308,12.52,194.7,396.3,0.98,1.729
-2,0.272,1301,13.45,197.3,397.4,0.99,1.728
0,0.293,1295,14.43,200,398.6,1,1.727
2,0.315,1288,15.47,202.7,399.8,1.01,1.726
4,0.338,1281,16.56,205.4,400.9,1.02,1.725
6,0.362,1275,17.72,208.1,402.1,1.029,1.724
8,0.388,1268,18.94,210.8,403.2,1.039,1.723
10,0.415,1261,20.23,213.6,404.3,1.049,1.722
12,0.443,1254,21.58,216.3,405.4,1.058,1.721
14,0.473,1247,23.02,219.1,406.5,1.068,1.72
16,0.504,1240,24.52,221.9,407.6,1.077,1.72
18,0.537,1233,26.11,224.7,408.7,1.087,1.719
20,0.572,1225,27.78,227.5,409.8,1.096,1.718
22,0.608,1218,29.54,230.3,410.8,1.106,1.717
24,0.646,1211,31.39,233.1,411.8,1.115,1.717
26,0.685,1203,33.34,236.0,412.8,1.125,1.716
28,0.727,1195,35.38,238.8,413.8,1.134,1.715
30,0.770,1188,37.54,241.7,414.8,1.144,1.715
32,0.815,1180,39.80,244.6,415.8,1.153,1.714
34,0.863,1172,42.18,247.5,416.7,1.162,1.713
36,0.912,1163,44.68,250.5,417.7,1.172,1.712
38,0.963,1155,47.32,253.4,418.6,1.181,1.712
40,1.017,1147,50.09,256.4,419.4,1.191,1.711
42,1.072,1138,53.00,259.4,420.3,1.200,1.710
44,1.130,1130,56.06,262.4,421.1,1.209,1.710
46,1.190,1121,59.29,265.5,421.9,1.219,1.709
48,1.253,1112,62.69,268.5,422.7,1.228,1.708
50,1.318,1102,66.27,271.6,423.4,1.238,1.707
52,1.385,1093,70.05,274.7,424.2,1.247,1.706
54,1.456,1083,74.03,277.9,424.8,1.256,1.706
56,1.528,1073,78.2,281.1,425.5,1.266,1.705
58,1.604,1063,82.7,284.3,426.1,1.275,1.704
60,1.682,1053,87.4,287.5,426.6,1.285,1.702
62,1.763,1042,92.4,290.8,427.1,1.294,1.701
64,1.847,1031,97.6,294.1,427.6,1.304,1.700
66,1.934,1020,103.2,297.4,428.0,1.314,1.699
68,2.024,1008,109.2,300.8,428.4,1.323,1.697
70,2.117,996,115.6,304.3,428.7,1.333,1.696
72,2.213,984,122.4,307.8,428.9,1.343,1.694
74,2.313,971,129.7,311.3,429.0,1.353,1.692
76,2.416,957,137.5,314.9,429.0,1.363,1.690
78,2.523,943,145.9,318.6,429.0,1.373,1.688
80,2.633,928,155.1,322.4,428.8,1.384,1.685
82,2.747,913,165.1,326.2,428.5,1.394,1.682
84,2.865,896,176.0,330.2,428.1,1.405,1.679
86,2.987,878,188.1,334.3,427.4,1.416,1.675
88,3.114,859,201.5,338.5,426.6,1.427,1.671
90,3.244,838,216.8,342.9,425.4,1.439,1.666
